question_id,title,topic_primary,url_slug,source_url,base_unweighted_n,base_weighted_n,moe_question_level,is_multiselect,options_count
2024-122_a_1,"Do you snore, or have you been told that you snore?",A,do-you-snore-or-have-you-been-told-that-you-snore,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-1,1000,1000.0000000000667,+/- 3.4%,false,3
2024-122_a_10,Do you believe opioid prescriptions led you or someone known to you to substance use?,A,do-you-believe-opioid-prescriptions-led-you-or-someone-known-to-you-to-substance-use,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-10,1000,1000.0000000000667,+/- 3.4%,false,3
2024-122_a_11,Have you ever had bariatric (weight loss) surgery?,A,have-you-ever-had-bariatric-weight-loss-surgery,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-11,1000,1000.0000000000667,+/- 3.4%,false,5
2024-122_a_12,How likely are you to use a rocking chair to help with recovery after hip or knee surgery?,A,how-likely-are-you-to-use-a-rocking-chair-to-help-with-recovery-after-hip-or-knee-surgery,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-12,1000,1000.0000000000667,+/- 3.4%,false,5
2024-122_a_13,"When you received orthodontic care (braces) between ages 9-26, did your orthodontist or their assistant provide any general health education beyond information about braces or brushing, such as information on getting vaccinations or healthy eating?",A,when-you-received-orthodontic-care-braces-between-ages-9-26-did-your-orthodontist-or-their-assistant-provide-any-general-health-education-beyond-information-about-braces-or,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-13,1000,1000.0000000000667,+/- 3.4%,false,4
2024-122_a_14,"In the last 12 months, have you or someone you love/care for needed help with aging issues such as falls, safer living situations, skilled nursing care, etc.?",A,in-the-last-12-months-have-you-or-someone-you-love-care-for-needed-help-with-aging-issues-such-as-falls-safer-living-situations-skilled-nursing-care-etc,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-14,1000,1000.0000000000667,+/- 3.4%,false,3
2024-122_a_15,"In the last year, how much out of pocket money have you spent on health care, including services that were not covered by insurance?",A,in-the-last-year-how-much-out-of-pocket-money-have-you-spent-on-health-care-including-services-that-were-not-covered-by-insurance,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-15,1000,1000.0000000000667,+/- 3.4%,false,7
2024-122_a_16,"doctor’s visits, wellness checks, public programs.",A,doctor-s-visits-wellness-checks-public-programs,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-16,1000,1000.0000000000667,+/- 3.4%,false,4
2024-122_a_17,"How would you characterize your experience accessing mental health services? (1=really bad, 5=very good)",A,how-would-you-characterize-your-experience-accessing-mental-health-services-1-really-bad-5-very-good,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-17,1000,1000.0000000000667,+/- 3.4%,false,5
2024-122_a_18,How much do you agree or disagree with the following statement? I am satisfied with the care I receive from my primary care/family doctor.,A,how-much-do-you-agree-or-disagree-with-the-following-statement-i-am-satisfied-with-the-care-i-receive-from-my-primary-care-family-doctor,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-18,1000,1000.0000000000667,+/- 3.4%,false,6
2024-122_a_19,How much do you agree or disagree with the following statement? I would recommend my primary care/family doctor to a friend or family member.,A,how-much-do-you-agree-or-disagree-with-the-following-statement-i-would-recommend-my-primary-care-family-doctor-to-a-friend-or-family-member,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-19,1000,1000.0000000000667,+/- 3.4%,false,6
2024-122_a_2,Have you had an eye examination in the last two years?,A,have-you-had-an-eye-examination-in-the-last-two-years,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-2,1000,1000.0000000000667,+/- 3.4%,false,2
2024-122_a_20,How much do you agree or disagree with the following statement? I wish I could have a different primary care/family doctor.,A,how-much-do-you-agree-or-disagree-with-the-following-statement-i-wish-i-could-have-a-different-primary-care-family-doctor,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-20,1000,1000.0000000000667,+/- 3.4%,false,6
2024-122_a_21,Has your health care provider spoken to you about or recommended the HPV vaccine for you or your child?,A,has-your-health-care-provider-spoken-to-you-about-or-recommended-the-hpv-vaccine-for-you-or-your-child,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-21,1000,1000.0000000000667,+/- 3.4%,false,5
2024-122_a_22,Do you know the difference between IUDs and implants?,A,do-you-know-the-difference-between-iuds-and-implants,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-22,1000,1000.0000000000667,+/- 3.4%,false,3
2024-122_a_23,Who do you know that has experienced infertility?,A,who-do-you-know-that-has-experienced-infertility,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-23,1000,1000.0000000000667,+/- 3.4%,true,4
2024-122_a_24,Do you support the rights of infertility patients to pursue IVF treatments?,A,do-you-support-the-rights-of-infertility-patients-to-pursue-ivf-treatments,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-24,1000,1000.0000000000667,+/- 3.4%,false,4
2024-122_a_25,To what extent would you support a law in your state requiring health insurance companies to cover assisted conception methods such as intrauterine insemination (IUI) or in vitro fertilization (IVF) for patients with infertility?,A,to-what-extent-would-you-support-a-law-in-your-state-requiring-health-insurance-companies-to-cover-assisted-conception-methods-such-as-intrauterine-insemination-iui-or-in-vitro,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-25,1000,1000.0000000000667,+/- 3.4%,false,5
2024-122_a_26,Do you feel that there is enough training for the healthcare workforce to provide adequate care to people with Intellectual and Developmental Disabilities?,A,do-you-feel-that-there-is-enough-training-for-the-healthcare-workforce-to-provide-adequate-care-to-people-with-intellectual-and-developmental-disabilities,https://reports.verasight.io/reports/verasight-apha-omnibus-survey-2024-122#q-a-26,1000,1000.0000000000667,+/- 3.4%,false,4
